thrust,5337.8616
time,7.5
impulse,40033.962
rho_ox,1177.0578251674194
rho_fuel,843.4232622292875
pc,2068428.0
pinj,2076369.5479662018
pe,68947.6
g,9.81
rm,3.524453151938709
phi,1.069046734357722
at,0.0019146948353985316
rt,0.02468737116690229
cr,10.50099098271316
rc,0.0800000004340807
ac,0.020106193201167438
l_star,1.016
mol_weight,24.23879015412531
gamma,1.1449398991608812
gamma_exit,1.2303302229692188
gamma_throat,1.149060715745583
isp,202.22263320473624
temp_c,2910.3636055126312
rg,(0.34300391839421085,)
pr_throat,0.5267001759539593
rho_throat,1.2750294824458566
temp_e,1768.2503051173226
v_exit,2322.49569422082
a_exit,853.127644354974
mach_exit,2.7223308371126507
temp_throat,2735.1410091194116
p_throat,3607262.3962597745
v_throat,1033.8576810523646
mdot,2.690720209557334
mdot_ox,2.096014038623865
mdot_fuel,1.1894123418669378
er,4.869881608656112
cstar,1409.6133299974251
cf,1.34780584443721
c_eff,None
rho_av,None
vc,None
theta_con,None
lc,0.08111931754372557
theta_div,None
ln_conical,0.11510839987398842
ln_bell,None
throat_radius_curvature,0.0508
ae,0.00932433716509615
re,0.054479617305567093
nv,None
nvstar,None
nf,None
nw,None
fuelname,Ethanol_75
oxname,N2O
CEA,<rocketcea.cea_obj_w_units.CEA_Obj object at 0x7f598a2060a0>
pambient,101352.972
cf_efficiency,0.95
isp_efficiency,0.9
thetac,0.6108652381980153
thetai,None
thetae,None
kin_visc_fuel,1.3639349612276431e-06
kin_visc_ox,5.4758906383056096e-08
dyn_visc_fuel,0.0011503744744671956
dyn_visc_ox,6.445439925578633e-05
P_tank_ox,None
P_tank_fuel,None
numengines,None
propmass,20.180401571680004
lstar,1.24
dp,1034214.0
prns,0.4981595674320055
viscosityns,9.824544141642015e-07
cpns,3910.6441698886365
